Earnings Date,Surprise,Share Price Change,Ticker
2022-04-28,0.0644,0.006897756321859072,AAPL
2022-07-28,0.0325,0.03648211945941382,AAPL
2022-10-27,0.015500000000000002,0.04278542792795337,AAPL
2023-02-02,-0.0288,0.062366975661861224,AAPL
2023-05-04,0.060300000000000006,0.03654823888224512,AAPL
2023-08-03,0.054900000000000004,-0.05499003363063004,AAPL
2023-11-02,0.0492,0.015404968049873569,AAPL
2024-02-01,0.039,0.007863415667193063,AAPL
2022-05-03,0.8972,0.02225418198488094,ABNB
2022-08-02,0.312,0.03435251618399082,ABNB
2022-11-01,0.2183,-0.1169207704781905,ABNB
2023-02-14,0.9104000000000001,0.1768596174345496,ABNB
2023-05-09,1.0809,-0.09916433691332982,ABNB
2023-08-03,0.263,-0.030368009572420362,ABNB
2023-11-01,0.1574,-0.02358610950996376,ABNB
2024-02-13,0.2232,-0.03641096223925999,ABNB
2022-06-16,0.0123,-0.04279423832161422,ADBE
2022-09-15,0.0198,-0.19385225867623923,ADBE
2022-12-15,0.027700000000000002,-0.0040597929756962525,ADBE
2023-03-15,0.0325,0.05988066713682527,ADBE
2023-06-15,0.0325,0.032636110225269244,ADBE
2023-09-14,0.0279,-0.04456605068820019,ADBE
2023-12-13,0.032100000000000004,-0.0773600362554584,ADBE
2022-05-18,0.13949999999999999,-0.017700246847476397,ADI
2022-08-17,0.0364,-0.04976536932800568,ADI
2022-11-22,0.057300000000000004,0.0625470426192154,ADI
2023-02-15,0.0571,0.06184950792128574,ADI
2023-05-24,0.0292,-0.08264159434382001,ADI
2023-08-23,-0.0123,-0.016811991652467273,ADI
2023-11-21,0.0042,-0.006256123683647807,ADI
2024-02-21,0.0147,0.013252427911887077,ADI
2022-04-27,0.0621,0.03329114704420477,ADP
2022-07-27,0.0269,0.09898586061854986,ADP
2022-10-26,0.0362,-0.01173459053849868,ADP
2023-01-25,0.0125,-0.05736985300921382,ADP
2023-04-26,0.028999999999999998,0.0211157856217552,ADP
2023-07-26,0.033,0.04324687166772545,ADP
2023-10-25,0.027200000000000002,-0.0898731177355917,ADP
2024-01-31,0.0151,0.03558407990056933,ADP
2022-05-26,0.0661,0.13322257152276218,ADSK
2022-08-24,0.048499999999999995,0.03052000591980719,ADSK
2022-11-22,-0.0007000000000000001,-0.045665824095793006,ADSK
2023-02-23,0.0285,-0.111536679784625,ADSK
2023-05-25,-0.0019,0.010927542040581217,ADSK
2023-08-23,0.107,0.03998406720135561,ADSK
2023-11-21,0.0384,-0.07756028003107873,ADSK
2022-07-27,0.009300000000000001,0.012445639462953517,AEP
2022-10-27,0.037000000000000005,0.022298727374886695,AEP
2023-02-23,0.0633,-0.004294236843078281,AEP
2023-05-04,-0.0046,0.013645829502006324,AEP
2023-07-27,0.0049,-0.02499722533094173,AEP
2023-11-02,0.04,0.04236390923792266,AEP
2024-02-26,-0.023,0.019648305719149883,AEP
2024-02-27,-0.023799999999999998,0.03157116698947782,AEP
2023-02-16,0.0504,-0.03365135318941337,AMAT
2023-05-18,0.08750000000000001,0.009944359313618145,AMAT
2023-08-17,0.09179999999999999,0.03189884183988734,AMAT
2023-11-16,0.061,-0.0436378392175254,AMAT
2024-02-15,0.1177,0.07186215034384502,AMAT
2022-05-03,0.24180000000000001,0.10663404075645833,AMD
2022-08-02,0.016200000000000003,0.013535829459774495,AMD
2022-11-01,-0.0215,-0.02380952834629324,AMD
2023-01-31,0.032799999999999996,0.16825400903901633,AMD
2023-05-02,0.0636,-0.08997658016673915,AMD
2023-08-01,0.0149,-0.04414338273077234,AMD
2023-10-31,0.0344,0.12331046550967129,AMD
2024-01-30,-0.0032,-0.057020746135299616,AMD
2022-04-27,0.0379,-0.04698438423832052,AMGN
2022-08-04,0.0576,-0.003601229074241541,AMGN
2022-11-03,0.0588,0.00011160449748248702,AMGN
2023-01-31,-0.0013000000000000002,-0.0205890885040525,AMGN
2023-04-27,0.0345,0.003936325303381283,AMGN
2023-08-03,0.113,0.055856949767309816,AMGN
2023-10-31,0.0616,-0.00892886271863269,AMGN
2024-02-06,0.0227,-0.08106346319526714,AMGN
2022-04-28,-0.11699999999999999,-0.10049798380172181,AMZN
2022-07-28,0.249,0.11556580628641422,AMZN
2022-10-27,-0.2108,-0.10591388217302244,AMZN
2023-02-02,0.42560000000000003,-0.016738013415979913,AMZN
2023-04-27,0.4636,0.004476982056388579,AMZN
2023-08-03,0.8573000000000001,0.08860463314462064,AMZN
2023-10-26,0.6085,0.05231072169082318,AMZN
2024-02-01,0.24550000000000002,0.10702320191340498,AMZN
2022-08-03,0.10490000000000001,0.05986960671453012,ANSS
2022-11-02,0.0851,-0.03274953363743727,ANSS
2023-02-22,0.1052,0.10887477035180693,ANSS
2023-05-03,0.1471,-0.018975505893918387,ANSS
2023-08-02,0.07690000000000001,-0.09283404729522082,ANSS
2023-11-01,0.11560000000000001,-0.019442260735440087,ANSS
2023-11-02,0.11900000000000001,0.03225108604260085,ANSS
2024-02-21,0.0617,0.02468832819837319,ANSS
2021-04-21,0.27649999999999997,0.04887031228450334,ASML
2021-07-21,0.0362,0.06705656227100487,ASML
2021-10-20,0.046900000000000004,-0.016729909429891388,ASML
2022-01-19,0.1747,-0.01226190835332508,ASML
2022-04-20,0.0898,0.004585539169983832,ASML
2022-07-20,-0.0117,0.08810903003042236,ASML
2022-10-19,0.0762,0.09594235388459782,ASML
2023-01-25,0.056100000000000004,0.020730962165330435,ASML
2023-05-17,0.1935,0.06729550640634341,ASML
2023-07-19,0.086,-0.10686501849394126,ASML
